INFO:root:Find max matching for different graphs.
INFO:root:
INFO:root:        dwt_72.mtx: iter     0, Optimal    32, Current    29
INFO:root:        dwt_72.mtx: Optimal    32, Current Best    31
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:      bcspwr10.mtx: iter 14900, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 15000, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 15100, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 15200, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 15300, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 15400, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 15500, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 15600, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 15700, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 15800, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 15900, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 16000, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 16100, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 16200, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 16300, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 16400, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 16500, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 16600, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 16700, Optimal  2576, Current  2532
INFO:root:      bcspwr10.mtx: iter 16800, Optimal  2576, Current  2534
INFO:root:      bcspwr10.mtx: iter 16900, Optimal  2576, Current  2534
INFO:root:      bcspwr10.mtx: iter 17000, Optimal  2576, Current  2534
INFO:root:      bcspwr10.mtx: iter 17100, Optimal  2576, Current  2534
INFO:root:      bcspwr10.mtx: iter 17200, Optimal  2576, Current  2534
INFO:root:      bcspwr10.mtx: iter 17300, Optimal  2576, Current  2534
INFO:root:      bcspwr10.mtx: iter 17400, Optimal  2576, Current  2534
INFO:root:      bcspwr10.mtx: iter 17500, Optimal  2576, Current  2535
INFO:root:      bcspwr10.mtx: iter 17600, Optimal  2576, Current  2535
INFO:root:      bcspwr10.mtx: iter 17700, Optimal  2576, Current  2535
INFO:root:      bcspwr10.mtx: iter 17800, Optimal  2576, Current  2535
INFO:root:      bcspwr10.mtx: iter 17900, Optimal  2576, Current  2535
INFO:root:      bcspwr10.mtx: iter 18000, Optimal  2576, Current  2535
INFO:root:      bcspwr10.mtx: iter 18100, Optimal  2576, Current  2535
INFO:root:      bcspwr10.mtx: iter 18200, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 18300, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 18400, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 18500, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 18600, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 18700, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 18800, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 18900, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 19000, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 19100, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 19200, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 19300, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 19400, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 19500, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 19600, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 19700, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 19800, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 19900, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 20000, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 20100, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 20200, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 20300, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 20400, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 20500, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 20600, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 20700, Optimal  2576, Current  2536
